stock_id,name,industry,market,asset_type
2492,華新科,電子零組件業,上市,stock
2493,揚博,電子零組件業,上市,stock
2495,普安,電腦及週邊設備業,上市,stock
2496,卓越,其他業,上市,stock
2497,怡利電,汽車工業,上市,stock
2498,宏達電,通信網路業,上市,stock
2501,國建,建材營造業,上市,stock
2504,國產,建材營造業,上市,stock
2505,國揚,建材營造業,上市,stock
2506,太設,建材營造業,上市,stock
2509,全坤建,建材營造業,上市,stock
2511,太子,建材營造業,上市,stock
2514,龍邦,其他業,上市,stock
2515,中工,建材營造業,上市,stock
2516,新建,建材營造業,上市,stock
2520,冠德,建材營造業,上市,stock
2524,京城,建材營造業,上市,stock
2527,宏璟,建材營造業,上市,stock
2528,皇普,建材營造業,上市,stock
2530,華建,建材營造業,上市,stock
2534,宏盛,建材營造業,上市,stock
2535,達欣工,建材營造業,上市,stock
2536,宏普,建材營造業,上市,stock
2537,聯上發,建材營造業,上市,stock
2538,基泰,建材營造業,上市,stock
2539,櫻花建,建材營造業,上市,stock
2540,愛山林,建材營造業,上市,stock
2542,興富發,建材營造業,上市,stock
2543,皇昌,建材營造業,上市,stock
2545,皇翔,建材營造業,上市,stock
2546,根基,建材營造業,上市,stock
2547,日勝生,建材營造業,上市,stock
2548,華固,建材營造業,上市,stock
2597,潤弘,建材營造業,上市,stock
2601,益航,貿易百貨業,上市,stock
2603,長榮,航運業,上市,stock
2605,新興,航運業,上市,stock
2606,裕民,航運業,上市,stock
2607,榮運,航運業,上市,stock
2608,嘉里大榮,航運業,上市,stock
2609,陽明,航運業,上市,stock
2610,華航,航運業,上市,stock
2611,志信,航運業,上市,stock
2612,中航,航運業,上市,stock
2613,中櫃,航運業,上市,stock
2614,東森,其他業,上市,stock
2615,萬海,航運業,上市,stock
2616,山隆,油電燃氣業,上市,stock
2617,台航,航運業,上市,stock
2618,長榮航,航運業,上市,stock
2630,亞航,航運業,上市,stock
2633,台灣高鐵,航運業,上市,stock
2634,漢翔,航運業,上市,stock
2636,台驊控股,航運業,上市,stock
2637,慧洋-KY,航運業,上市,stock
2642,宅配通,航運業,上市,stock
